Energy(rgb),Energy(h),Energy(s),Energy(Cr),Energy(Cb),Contrast(rgb),Contrast(h),Contrast(s),Contrast(Cr),Contrast(Cb),Correlation(rgb),Correlation(h),Correlation(s),Correlation(Cr),Correlation(Cb),Homogeneity(rgb),Homogeneity(h),Homogeneity(s),Homogeneity(Cr),Homogeneity(Cb),Type
0.4282376814276796,0.430259789718544,0.3512022099371677,0.4230461453493656,0.4165402801151257,17.280727116141726,3.0525344488188977,1.4192452017716537,2.3341843011811023,2.80816313976378,0.2301948710336733,0.2991104014406787,0.4347015558823904,0.4714322916179297,0.4435735038396807,0.5629554659236007,0.6778384089856414,0.6983918155106531,0.7559849394974526,0.7376948601783234,0.0
0.3973584892671185,0.3877371469208746,0.3419810875132785,0.4488547537801572,0.4227209293766984,11.43137918307087,2.6872078001968505,1.7629336860236218,2.100424458661417,2.5146253690944884,0.43741776965957296,0.360527325038146,0.4579423755824753,0.5213082804183298,0.4760454104387806,0.6263827708751211,0.6734826417033348,0.7187144475162114,0.7851571546433529,0.7643419443318663,1.0
0.4253136062073057,0.3648680683183719,0.3911003413454109,0.4057411055626174,0.4588828627901712,11.49906188484252,2.4275190698818903,1.3548382135826769,1.9847748523622044,2.08275406003937,0.4588177347475129,0.4045444936490349,0.4055203712303708,0.5491635859350812,0.5761077129529456,0.6477234351347616,0.6838272384495137,0.7341538147000926,0.7810196778022228,0.7959746084703571,1.0
0.35043092881056953,0.3143784710937804,0.3650599894267285,0.30014456237823056,0.321033064706715,12.914031742125983,3.3455647145669296,1.7009565698818898,2.773898868110237,2.5899975393700787,0.35107898956837225,0.28558168782813703,0.24025076214290514,0.3757938646439408,0.434967525025156,0.571627015853835,0.6251177845646134,0.6965164898390457,0.6984141602014823,0.7162506513432146,0.0
0.4620224389576073,0.4686552837024313,0.3658455443690238,0.4414398515001749,0.4606196913702231,11.547474778543306,2.7360666830708658,1.5218380905511812,2.2565975639763773,2.1952663631889764,0.4677363771319434,0.3193993095441974,0.41077445499813936,0.4929639967107869,0.5635365626191517,0.667411908463303,0.7000674863941639,0.7204040499073644,0.7721039652327465,0.7838708422591478,1.0
0.39299535614571995,0.3637464976104195,0.38753181631118144,0.2920552146768663,0.3336975386094149,20.331185408464574,3.7018331692913375,1.3379675196850394,2.5755874753937005,2.8923474409448824,0.08437828652860799,0.22077785345227746,0.15915187325311786,0.41811736783819,0.415302692395684,0.4868089000611111,0.6173977391153309,0.6675631079203336,0.7013262976204261,0.7000828653311717,0.0
0.4548568956481995,0.3262231644247394,0.3736997460640084,0.3799533417245506,0.4337373668724301,9.814160925196845,3.0480591781496065,1.6437161663385824,2.1492372047244097,2.698157603346457,0.5179688204099425,0.28790614231247225,0.2883582684550314,0.5425572352234214,0.4489954823984327,0.6802313834704411,0.6265182629400183,0.7122520372568317,0.7648922388837426,0.744005380818666,1.0
0.4568907693406282,0.47748886101543,0.4290172724692704,0.493037367102911,0.5067468668504128,9.755336491141737,1.9870355561023627,1.2050319881889764,1.4395607775590549,1.595241756889764,0.4834012244184839,0.4991052449542812,0.6600258468354744,0.6291173716361759,0.6251329582995497,0.6789858354818079,0.7590094336208892,0.7932900793191291,0.8290620295854564,0.8265320135189904,1.0
0.4521195134840624,0.4207501459016684,0.34212128270197945,0.4210472367676677,0.4596016383632258,16.341658464566933,2.7897391732283467,1.5705585629921262,2.2351285679133848,2.3659725639763773,0.2489578772338497,0.3164729406036907,0.5222197986176147,0.5130800446251761,0.5118218639319331,0.586192496881256,0.6686077900648448,0.7061559170912459,0.7682787712772111,0.7685925015921721,0.0
0.4250775677752029,0.3406505112574729,0.3531035146868633,0.4027585934343539,0.4079413940562082,11.295106422244091,2.711675688976378,1.6863158218503942,2.2599809301181097,2.4668891486220472,0.4658331388361264,0.3468179305093903,0.4205263355775975,0.4990350661775708,0.5256284658327286,0.646008586047178,0.6511691610699398,0.7197480930118112,0.7640291186602592,0.7590884994499769,1.0
